business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,supermarket_brand,price_level,permanently_closed
OPERATIONAL,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 2260, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116102390831234401793"">Joe Ne</a>'], 'photo_reference': 'Aap_uEBuOicpzlV272lN1HyWMwEvD_nXh3gLvKle3igvtw0Iql7LsC5MHx5yQdrRJyUhYYoRoixXuIxyDxyPqYUFTrk40qgoRXFtq4Le3SGRqibXcF-Er-r_ypUOofzcvJas6FlPIdd5w-kX0Qm7U-WWvoYU9161NQ_oNEt8fY0znReh4NVL', 'width': 4082}]",ChIJLWHT12sMkEcRmSuzLQv5y5k,4.1,ChIJLWHT12sMkEcRmSuzLQv5y5k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",628,47.3992852,8.4325058,47.40084197989273,8.434018979892722,47.39814232010728,8.431319320107278,True,9CXM+P2 Schlieren,8FVC9CXM+P2,"Lidl, Zürich, Schlieren",,
OPERATIONAL,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111487661406161188494"">A Google User</a>'], 'photo_reference': 'Aap_uEDGNwoL2p1nJDKvytsXKoCqKEEpJ8RbK4qZr1cpM5dfmocQY6mI62hvFYV8tdUI3ApmeLKogT9CuOtlWsuT4OoMltNJ1gX9QO28sJ2emMmWgzqGZFMQf9SCxm5POyWnf2bAykDT7uxEWnHnaKMe5YHtXrtpOrD6JxkJclgLBueqZLeE', 'width': 5000}]",ChIJyzfNMz8LkEcRQoUMrhNYjOA,4.3,ChIJyzfNMz8LkEcRQoUMrhNYjOA,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",92,47.3924813,8.5156983,47.39389902989272,8.517091079892722,47.39119937010727,8.514391420107279,True,9GR8+X7 Zürich,8FVC9GR8+X7,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Wehntalerstrasse 625, 8046 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105556819107937213750"">Ursula Mikic</a>'], 'photo_reference': 'Aap_uECK60ZKBHCqrT6OWRIESdRHsrssyAQtPjQ4mO12HfppZaLt24_N80WKpB9EHgwTky_NtW7ZPGaMqzir3CYgQnHW1ydVNdihf2Z2ChPUSJFHkUA6mq1mOlFSK2xtYZx1hrUSIJZ7VBsyJUDWFVYBMhfe9IUzH_riYU9bn3fcdSnA4_E7', 'width': 4032}]",ChIJseGe3eQLkEcR4zpsLTAFO8k,4.2,ChIJseGe3eQLkEcR4zpsLTAFO8k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",83,47.4223919,8.4991596,47.42382932989272,8.500618079892723,47.42112967010728,8.497918420107279,True,CFCX+XM Zürich,8FVCCFCX+XM,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Grubenstrasse 28, 8045 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113839474166922666465"">Lidl</a>'], 'photo_reference': 'Aap_uEC0A97df9tK5k22_np-0vVD7e-my3LHMXD9YlGOyOqkTW_r8on1v2FQ7xKRVW4pBifD2XnITksd-hwGPWKj-FWZxwiDpU5GQ-qCfSz4RyCB9WOd1XgKBcz49b541TrlC_yiWwXACxu-E6q4HR3YsLYooUPPN4F4c60J7Os6dzMRA6rx', 'width': 960}]",ChIJbRRqLvMJkEcR_mqMiGkBWaw,4.1,ChIJbRRqLvMJkEcR_mqMiGkBWaw,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",735,47.3617687,8.51472,47.36303312989272,8.516097029892721,47.36033347010728,8.513397370107278,True,9G67+PV Zürich,8FVC9G67+PV,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,LIDL Switzerland,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103809717020657619812"">A Google User</a>'], 'photo_reference': 'Aap_uEChm2qHSt-ak7oo5FVYDVAy3LksHENy4t9NTJu4w0a2K_7CAPW68z-aHIr92_SwuRp7Zvs3asUkxzIva4iQ7kgmjSonIT-PQF3o2aWnyJwVm6ITKyudyVYr4zr-0GmzDUhy1doWMiXJJLTXuJThV6IdT4jPCzhnh3w5vRx38aY7CKYG', 'width': 4032}]",ChIJ0REDgqqgmkcRWrTSmPTdg1Q,4.4,ChIJ0REDgqqgmkcRWrTSmPTdg1Q,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",1000,47.3687699,8.541178,47.37028842989272,8.542742129892721,47.36758877010728,8.540042470107277,True,9G9R+GF Zürich,8FVC9G9R+GF,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Ohmstrasse 11, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112620219498948615802"">Lidl Schweiz</a>'], 'photo_reference': 'Aap_uECZ5j9IczCJe8qU8r0MbdFFriSPHMkZ8HOBPJexsaUEAQS_jdRsflT8BLLzas4HsTHOq0YfwaD8wPUHlZA5g5nybg3RpuRPWGOyZo7KsID516STSO7uLo2wx5gjyJcjYbnYL20Fw_Tg2Jzg87NPAxdL5qiY372_Fcb-meQD4HagfpBK', 'width': 640}]",ChIJU0W-noYKkEcRXJuSYfWbBR8,4.1,ChIJU0W-noYKkEcRXJuSYfWbBR8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",899,47.4104512,8.5457171,47.41177822989273,8.54718792989272,47.40907857010728,8.544488270107276,True,CG6W+57 Zürich,8FVCCG6W+57,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116115855649790835612"">Predrag</a>'], 'photo_reference': 'Aap_uECo3Xpg8fW77reVIn9FofZBU9Ay8uS4qW2Cbz9yA7XowakpWsShghE-ZTAX7Zp2rVRyMWg0_qCbYG_FUuo2abhShpN4iOiXn9KNQKeNjiIF6kdrlF2jpIPDBWJkcQTm4x-IbnW3km7fNeXUIg5EOVYDh_rK_qjfg0P0u2YiWXxdjLV7', 'width': 4032}]",ChIJHa8zrMILkEcRN-g-c59BoPs,3.9,ChIJHa8zrMILkEcRN-g-c59BoPs,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",14,47.4104947,8.5427327,47.41192422989272,8.543998279892723,47.40922457010728,8.541298620107279,True,CG6V+53 Zürich,8FVCCG6V+53,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Gaswerkstrasse 2, 8952 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118226557151027767036"">Abel Hecker</a>'], 'photo_reference': 'Aap_uECob-Xcr0DA_4amZ4P57G2GLzTXy6UtEyFFEzEWktTfRSeIkZ8tgbpbnSDRKUhL8ziXGmQAp4U3AoBMUqKdoUB9iRl227DebQMmdGGdCyQy2EqTFl9dIB5Jii5DEjULEJlWGqudXV5d9N33v-5r_ID2bCxE62Rp-_Nt_Nfg7Wmm80aC', 'width': 4000}]",ChIJJ78TAlQLkEcRakO_0HBnpHE,4.4,ChIJJ78TAlQLkEcRakO_0HBnpHE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",14,47.3921612,8.5156443,47.39372052989271,8.517127679892722,47.39102087010727,8.514428020107278,True,9GR8+V7 Zürich,8FVC9GR8+V7,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106871465245330007342"">A Google User</a>'], 'photo_reference': 'Aap_uEBFM59od8VHM7GFGWn2XqMKyNXhjVwapjjRB6Nfr1WqrpMcS7O0aRMM7Js8q69imVotE62Lg0wLO6_KEki6fu4FX4j1ilCQTy_x7Nwm5sazHwxnFbpdaBbk2-vxzo1A7ePJEJs_Ogx2t4-nyaSPItJ99TiCAW9uCMvywtpYIhQue-Oy', 'width': 4032}]",ChIJ_Ut8YlmgmkcRJF0zFEzklT8,4.1,ChIJ_Ut8YlmgmkcRJF0zFEzklT8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",573,47.4078098,8.585127199999999,47.40902792989272,8.58640797989272,47.40632827010727,8.583708320107275,True,CH5P+43 Zürich,8FVCCH5P+43,"Lidl, Zürich, Alstetten",,
OPERATIONAL,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 2260, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116102390831234401793"">Joe Ne</a>'], 'photo_reference': 'Aap_uEALNzWAN4PTyqOA-bdqHbm2mu-NVqdWZLOd-G5LXmeYiBleeSliw2l1rodptsufKwKpIVlxC8o-jVil9iCkeoTxA-djp7mtU90ojm0lw-9Ba2MycULSlOIvvrcTrnsMaMKw0cmbpoxaKaUS-OU7ab8tBPMoW4Ez6xlW8bGKjq580g5k', 'width': 4082}]",ChIJLWHT12sMkEcRmSuzLQv5y5k,4.1,ChIJLWHT12sMkEcRmSuzLQv5y5k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",628,47.3992852,8.4325058,47.40084197989273,8.434018979892722,47.39814232010728,8.431319320107278,True,9CXM+P2 Schlieren,8FVC9CXM+P2,"Lidl, Zürich, Alstetten",,
